32,102,247,1,-1
132,254,59,1,-1
233,200,171,1,-1
181,208,95,1,-1
161,77,198,1,-1
19,19,100,1,-1
33,196,101,1,-1
109,97,138,1,-1
49,105,172,1,-1
72,239,254,1,-1
84,207,95,1,-1
226,80,247,1,-1
178,171,117,1,-1
248,190,161,1,-1
122,24,29,1,1
37,149,230,1,-1
25,208,17,1,-1
131,177,233,1,-1
41,177,74,1,-1
26,167,80,1,-1
26,120,89,1,-1
45,179,91,1,-1
170,45,32,1,1
56,231,201,1,-1
31,56,90,1,-1
24,111,1,1,-1
249,132,74,1,1
237,92,127,1,1
137,87,65,1,-1
60,188,220,1,-1
23,172,52,1,-1
188,1,107,1,1
73,128,18,1,-1
178,140,225,1,-1
24,60,70,1,-1
85,35,114,1,-1
82,32,120,1,-1
72,48,34,1,-1
148,122,46,1,-1
198,61,115,1,1
35,231,104,1,-1
65,121,14,1,-1
156,33,29,1,1
115,167,231,1,-1
52,221,198,1,-1
160,128,167,1,-1
220,66,174,1,-1
217,25,148,1,1
168,104,15,1,1
141,138,182,1,-1
131,185,110,1,-1
159,121,202,1,-1
140,25,67,1,1
24,232,103,1,-1
238,65,230,1,-1
23,218,133,1,-1
19,218,49,1,-1
9,187,60,1,-1
246,65,226,1,-1
168,245,226,1,-1
204,153,115,1,-1
209,77,227,1,-1
154,144,193,1,-1
113,119,106,1,-1
41,232,196,1,-1
62,134,167,1,-1
219,8,247,1,-1
105,67,71,1,-1
22,83,123,1,-1
101,45,201,1,-1
31,224,159,1,-1
10,14,102,1,-1
173,113,43,1,1
244,46,132,1,1
89,220,99,1,-1
147,232,157,1,-1
234,69,126,1,1
171,1,238,1,-1
245,129,251,1,-1
109,79,192,1,-1
219,62,136,1,1
160,66,137,1,-1
221,209,19,1,-1
2,55,136,1,-1
62,127,33,1,-1
186,161,182,1,-1
37,73,254,1,-1
250,163,244,1,-1
64,141,210,1,-1
194,248,184,1,-1
20,124,13,1,-1
184,144,131,1,-1
69,25,187,1,-1
251,57,92,1,1
230,135,91,1,1
178,192,71,1,-1
70,239,167,1,-1
95,181,171,1,-1
235,193,18,1,1
43,132,19,1,-1
118,214,79,1,-1
127,136,53,1,-1
154,7,126,1,1
233,30,9,1,1
226,14,157,1,1
234,134,222,1,-1
80,203,57,1,-1
227,145,117,1,-1
80,99,196,1,-1
145,125,13,1,1
206,200,159,1,-1
158,14,57,1,1
207,61,205,1,-1
230,39,59,1,1
161,244,211,1,-1
251,171,246,1,-1
169,222,200,1,-1
43,41,236,1,-1
118,71,22,1,1
179,74,139,1,-1
21,57,181,1,-1
197,82,143,1,-1
76,216,86,1,-1
125,134,188,1,-1
33,225,117,1,-1
70,34,125,1,-1
232,84,175,1,-1
104,104,17,1,-1
67,137,17,1,-1
172,247,85,1,-1
22,161,114,1,-1
112,127,65,1,-1
148,102,112,1,-1
59,244,78,1,-1
246,145,123,1,-1
141,181,168,1,-1
6,82,28,1,-1
233,239,201,1,-1
222,7,138,1,1
244,180,173,1,-1
208,114,191,1,-1
9,113,183,1,-1
59,57,116,1,-1
213,93,85,1,1
4,224,205,1,-1
226,210,41,1,-1
216,44,243,1,-1
207,13,182,1,1
188,177,145,1,-1
92,118,103,1,-1
172,235,237,1,-1
181,124,45,1,1
68,87,138,1,-1
184,75,246,1,-1
85,36,99,1,-1
78,161,168,1,-1
124,93,29,1,1
220,201,146,1,-1
234,134,61,1,1
174,74,156,1,-1
228,101,142,1,-1
17,40,9,1,-1
143,7,237,1,-1
180,152,161,1,-1
115,219,37,1,-1
